City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
558,san felipe,10.3399,-68.7425,23.08,97,89,0.6,VE,1700532048
559,ust-tsilma,65.441,52.1498,-11.84,99,100,1.21,RU,1700532049
560,kirensk,57.7853,108.1119,-11.72,92,100,2.72,RU,1700532050
561,dunedin,-45.8742,170.5036,17.03,66,30,6.16,NZ,1700532051
562,naryn,41.4287,75.9911,-5.15,70,53,4.33,KG,1700532007
563,palikir - national government center,6.9248,158.1611,30.47,89,75,3.09,FM,1700532052
564,punasa,22.2333,76.4,19.33,67,7,2.61,IN,1700531781
565,flowing wells,32.294,-111.0098,18.12,44,0,4.12,US,1700532054
566,doume,4.2333,13.45,21.78,87,100,0.55,CM,1700532055
567,dickinson,29.4608,-95.0513,23.88,90,40,3.09,US,1700531811
568,amos,48.5669,-78.1162,-9.64,92,5,1.58,CA,1700531967
569,tralee,52.2704,-9.7026,9.27,83,90,6.6,IE,1700532057
570,orebro,59.2741,15.2066,0.52,93,100,4.12,SE,1700532058
571,zmeinogorsk,51.1567,82.195,-8.06,69,1,1.64,RU,1700532060
572,salekhard,66.53,66.6019,-20.6,95,71,1.54,RU,1700532061
573,chinde,26.8418,88.0763,15.08,71,3,0.55,NP,1700532062
574,aykhal,66.0,111.5,-31.98,100,100,3.16,RU,1700532063
575,la mira,18.035,-102.3266,25.57,98,65,0.49,MX,1700532065
576,bonao,18.9369,-70.4092,23.81,99,100,0.38,DO,1700532066
577,manokwari,-0.8667,134.0833,29.18,71,99,4.26,ID,1700532067
578,mana,5.6592,-53.7767,26.02,91,6,3.93,GF,1700532068
579,grand falls-windsor,48.9332,-55.6649,-3.05,80,4,2.08,CA,1700532069
580,datong,40.0936,113.2914,6.87,31,52,0.57,CN,1700532069
581,mesquite,32.7668,-96.5992,17.82,65,4,3.58,US,1700531996
582,fernie,49.5,-115.0687,4.05,98,100,0.7,CA,1700532020
583,boundiali,9.5217,-6.4869,22.64,35,0,0.33,CI,1700532072
584,mahibadhoo,3.7833,72.9667,28.16,76,99,2.82,MV,1700532072
585,ribeira brava,32.65,-17.0667,21.74,32,90,5.56,PT,1700532074
586,nova vicosa,-17.8919,-39.3719,24.23,89,53,4.12,BR,1700532074
587,timbuktu,16.7735,-3.0074,22.1,17,93,4.55,ML,1700532048
588,lubango,-14.9172,13.4925,16.92,77,82,2.06,AO,1700532076
589,tchintabaraden,15.8969,5.7985,21.81,22,57,4.5,NE,1700532077
590,kainantu,-6.2887,145.8655,25.65,53,22,2.64,PG,1700532078
